Ranking,Category,Description,ImageUrl,Price,AverageRating,RatingCount,Url,Asin
#1,Gesundheit & Körperpflege,"HappyPo Easy-Bidet (300ml, Dunkelblau)","https://images-eu.ssl-images-amazon.com/images/I/61mzT5vmy8L._AC_UL200_SR200,200_.jpg","19,95 ","4,5",6.711,https://www.amazon.de/HappyPo-Easy-Bidet-300ml-Dunkelblau/dp/B08G8MMSPV/ref=zg_bs_9418400031_1/257-8466628-1053461?_encoding=UTF8&psc=1&refRID=9PA85P2EM634CRMAVCGX,B08G8MMSPV
#2,Gesundheit & Körperpflege,MyHeritage DNA Test Kit — Gentest für die Familienforschung,"https://images-eu.ssl-images-amazon.com/images/I/51d19DwcSkL._AC_UL200_SR200,200_.jpg","79,00 ","4,4",4.202,https://www.amazon.de/MyHeritage-DNA-Test-Kit-Genetischer-Herkunfts-Ethnizit%C3%A4tstest/dp/B072SY5JHQ/ref=zg_bs_9418400031_2/257-8466628-1053461?_encoding=UTF8&psc=1&refRID=9PA85P2EM634CRMAVCGX,B072SY5JHQ
#3,Gesundheit & Körperpflege,Salus Kräuterblut Floradix mit Eisen – zur Verbeugung von Eisenmangel – mit Eisen(II)…,"https://images-eu.ssl-images-amazon.com/images/I/61UtXlRvVqL._AC_UL200_SR200,200_.jpg","6,95 ","4,7",846,https://www.amazon.de/Floradix-Eisen-Eisentabletten-Spezial-Tonikum-Eisenpr%C3%A4parat/dp/B00I0X0D92/ref=zg_bs_9418400031_3/257-8466628-1053461?_encoding=UTF8&psc=1&refRID=9PA85P2EM634CRMAVCGX,B00I0X0D92
#4,Gesundheit & Körperpflege,Bartöl (50ml) · BROOKLYN SOAP COMPANY · Bart Öl für die tägliche Bartpflege von 3-Tage-Bart…,"https://images-eu.ssl-images-amazon.com/images/I/91aG7n8xWFL._AC_UL200_SR200,200_.jpg","7,75 ","4,5",525,https://www.amazon.de/Nat%C3%BCrliche-Bartpflege-Naturkosmetik-Geschenkidee-Bartstyling/dp/B07BYG8BT8/ref=zg_bs_9418400031_4/257-8466628-1053461?_encoding=UTF8&psc=1&refRID=9PA85P2EM634CRMAVCGX,B07BYG8BT8
#5,Gesundheit & Körperpflege,Hals Hängematte|Nackenhängematte|Kopf Nackenmassagegerät für Nacken und…,"https://images-eu.ssl-images-amazon.com/images/I/71hlGoZZQ-L._AC_UL200_SR200,200_.jpg","23,99 ","3,8",1.048,https://www.amazon.de/H%C3%A4ngematte-Nackenh%C3%A4ngematte-Nackenmassageger%C3%A4t-Schulterschmerzen-Schmerzlinderung/dp/B07RYMB21L/ref=zg_bs_9418400031_5/257-8466628-1053461?_encoding=UTF8&psc=1&refRID=9PA85P2EM634CRMAVCGX,B07RYMB21L
#6,Gesundheit & Körperpflege,einhorn Kondome 7 Stück Wochenration Design Edition: BALI,"https://images-eu.ssl-images-amazon.com/images/I/71cYl7G57TL._AC_UL200_SR200,200_.jpg","7,46 ","4,6",1.072,https://www.amazon.de/einhorn-Kondome-Wochenration-Hormonfrei-Gepr%C3%BCft/dp/B014J0UGQE/ref=zg_bs_9418400031_6/257-8466628-1053461?_encoding=UTF8&psc=1&refRID=9PA85P2EM634CRMAVCGX,B014J0UGQE
#7,Gesundheit & Körperpflege,Kabelloser Massagestab von Yarosi - Stärkste Therapeutische Vibrationskraft - Magischer…,"https://images-eu.ssl-images-amazon.com/images/I/71pMNCBUSVL._AC_UL200_SR200,200_.jpg","45,95 ","4,5",3.008,https://www.amazon.de/Kabelloser-Massagestab-Yarosi-Vibrationskraft-Muskelschmerzen/dp/B01GXONRK6/ref=zg_bs_9418400031_7/257-8466628-1053461?_encoding=UTF8&psc=1&refRID=9PA85P2EM634CRMAVCGX,B01GXONRK6
#8,Gesundheit & Körperpflege,"Femometer Vinca Basalthermometer für Eisprung & Zykluskontrolle, Digital Bluetooth Leises BBT…","https://images-eu.ssl-images-amazon.com/images/I/61xQIdbEJEL._AC_UL200_SR200,200_.jpg","25,15 ","4,2",642,https://www.amazon.de/Basalthermometer-Zykluskontrolle-Fertilit%C3%A4tsmonitor-Zykluscomputer-Intelligentes/dp/B07JDJSMYY/ref=zg_bs_9418400031_8/257-8466628-1053461?_encoding=UTF8&psc=1&refRID=9PA85P2EM634CRMAVCGX,B07JDJSMYY
#9,Gesundheit & Körperpflege,"Bartshampoo, Bartseife, Beard Wash 200 ml Reinigung und Pflege für den Bart…","https://images-eu.ssl-images-amazon.com/images/I/81CfKb%2BF4ZL._AC_UL200_SR200,200_.jpg","5,80 ","4,6",540,https://www.amazon.de/Bartshampoo-Bartseife-Beard-Reinigung-Pflege/dp/B07BYFVFWF/ref=zg_bs_9418400031_9/257-8466628-1053461?_encoding=UTF8&psc=1&refRID=9PA85P2EM634CRMAVCGX,B07BYFVFWF
#10,Gesundheit & Körperpflege,Merula Cup apple (grün) - One size Menstruationstasse aus medizinischem Silikon,"https://images-eu.ssl-images-amazon.com/images/I/81aZoZUnesL._AC_UL200_SR200,200_.jpg","17,40 ","4,0",1.859,https://www.amazon.de/Merula-apple-gr%C3%BCn-Menstruationstasse-medizinischem/dp/B072Q2LYJ9/ref=zg_bs_9418400031_10/257-8466628-1053461?_encoding=UTF8&psc=1&refRID=9PA85P2EM634CRMAVCGX,B072Q2LYJ9
#11,Gesundheit & Körperpflege,"Haltungskorrektor für Männer und Frauen - Oberer Rückenstrecker mit verstellbarer, atmungsaktiver…","https://images-eu.ssl-images-amazon.com/images/I/71iGFlK3n7L._AC_UL200_SR200,200_.jpg","13,99 ","3,7",19.322,https://www.amazon.de/Haltungskorrektur-Schl%C3%BCsselbein-R%C3%BCckenausrichtung-Schmerzlinderung-FDA-genehmigt/dp/B07TVHB682/ref=zg_bs_9418400031_11/257-8466628-1053461?_encoding=UTF8&psc=1&refRID=9PA85P2EM634CRMAVCGX,B07TVHB682
#12,Gesundheit & Körperpflege,"einhorn Kondome Jahresvorrat - 49 Kondome - 7 Tüten - vegan, hormonfrei, feucht, 100% geprüft","https://images-eu.ssl-images-amazon.com/images/I/91CBSJuS%2B9L._AC_UL200_SR200,200_.jpg","38,95 ","4,8",560,https://www.amazon.de/Einhorn-Kondome-Jahresvorrat-Hormonfrei-Feucht/dp/B014J2C3A4/ref=zg_bs_9418400031_12/257-8466628-1053461?_encoding=UTF8&psc=1&refRID=9PA85P2EM634CRMAVCGX,B014J2C3A4
#13,Gesundheit & Körperpflege,einhorn Kondome - Geschenk Special - Super Dino - 63 Stück - vegan + 2 schlüpfrige Stempel und…,"https://images-eu.ssl-images-amazon.com/images/I/811VwMktngL._AC_UL200_SR200,200_.jpg","42,00 ","4,7",67,https://www.amazon.de/einhorn-Kondome-Geschenk-schl%C3%BCpfrige-Stickerbogen/dp/B01L04ME76/ref=zg_bs_9418400031_13/257-8466628-1053461?_encoding=UTF8&psc=1&refRID=9PA85P2EM634CRMAVCGX&smid=A21E3E6JZVCKRD,B01L04ME76
#14,Gesundheit & Körperpflege,ORGAINIC Bio Erdbeere Whey Protein - Bio Zertifiziert ohne Zusatzstoffe - Eiweißpulver aus…,"https://images-eu.ssl-images-amazon.com/images/I/41GMIXe85WL._AC_UL200_SR200,200_.jpg","35,90 ","4,3",760,https://www.amazon.de/ORGAINIC-Strawberry-Whey-Protein-Grasf%C3%BCtterung/dp/B0722V5NQ3/ref=zg_bs_9418400031_14/257-8466628-1053461?_encoding=UTF8&psc=1&refRID=9PA85P2EM634CRMAVCGX,B0722V5NQ3
#15,Gesundheit & Körperpflege,Ionocore® Tennisarm Bandage Ellenbogenbandage – Für Fitness zu Hause – Mit EVA…,"https://images-eu.ssl-images-amazon.com/images/I/91YZ4uB8ysL._AC_UL200_SR200,200_.jpg","9,99 ","4,1",2.978,https://www.amazon.de/ionocore-Ellenbogenbandage-verstellbar-EVA-Kompressionspolster-Einheitsgr%C3%B6%C3%9Fe/dp/B06XC9TW57/ref=zg_bs_9418400031_15/257-8466628-1053461?_encoding=UTF8&psc=1&refRID=9PA85P2EM634CRMAVCGX,B06XC9TW57
#16,Gesundheit & Körperpflege,Natürliche Männerpflege: Aftershave Spray - 100ML beruhigt die Haut und wirkt antibakteriell…,"https://images-eu.ssl-images-amazon.com/images/I/51Wqt9YnNgL._AC_UL200_SR200,200_.jpg","8,72 ","4,6",171,https://www.amazon.de/Nat%C3%BCrliche-M%C3%A4nnerpflege-Aftershave-antibakteriell-Geschenkidee/dp/B07CKW4Q7R/ref=zg_bs_9418400031_16/257-8466628-1053461?_encoding=UTF8&psc=1&refRID=9PA85P2EM634CRMAVCGX,B07CKW4Q7R
#17,Gesundheit & Körperpflege,Natürliche Bartpflege: Beard Wax Bartwachs (20 gr) Naturkosmetik der BROOKLYN SOAP COMPANY…,"https://images-eu.ssl-images-amazon.com/images/I/817pf4%2BUqSL._AC_UL200_SR200,200_.jpg","5,80 ","4,3",178,https://www.amazon.de/Nat%C3%BCrliche-Bartpflege-Naturkosmetik-Bartstyling-Geschenkidee/dp/B07BYCD7HY/ref=zg_bs_9418400031_17/257-8466628-1053461?_encoding=UTF8&psc=1&refRID=9PA85P2EM634CRMAVCGX,B07BYCD7HY
#18,Gesundheit & Körperpflege,Bartcreme & Gesichtscreme (75 ml) · 2-in-1 Bartpflege der BROOKLYN SOAP COMPANY ·…,"https://images-eu.ssl-images-amazon.com/images/I/91TSjoiYvuL._AC_UL200_SR200,200_.jpg","11,70 ","4,6",124,https://www.amazon.de/Gesichtscreme-Bartpflege-Alternative-3-Tage-Bart-Bartjucken/dp/B07JHKY5HM/ref=zg_bs_9418400031_18/257-8466628-1053461?_encoding=UTF8&psc=1&refRID=9PA85P2EM634CRMAVCGX,B07JHKY5HM
#19,Gesundheit & Körperpflege,"449g Süß Wax 24° Sugaring Zuckerpaste zur Haarentfernung mit Hand, kein Vlies nötig.…","https://images-eu.ssl-images-amazon.com/images/I/91EkC4cQvSL._AC_UL200_SR200,200_.jpg","12,99 ","3,5",782,https://www.amazon.de/Sugaring-Zuckerpaste-Haarentfernung-Optimal-Umgebungstemperaturen/dp/B00OUYHFBO/ref=zg_bs_9418400031_19/257-8466628-1053461?_encoding=UTF8&psc=1&refRID=9PA85P2EM634CRMAVCGX,B00OUYHFBO
